Treat,Year,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated_assault,Burglary,Larceny_Theft,Vehicle_Theft
1,1970,2091385,4688.2,256.9,4431.3,4.6,18,102.5,131.7,1273.4,2825,332.8
1,1971,2158000,4939.8,293.6,4646.2,3.2,22.2,110.4,157.7,1340.7,2944.5,361
1,1972,2182000,5048.4,297.6,4750.8,5.5,26.3,109.5,156.3,1468.8,2895.4,386.6
1,1973,2225000,5297.1,292.7,5004.4,4.9,29.3,99.4,159,1607.7,2988.5,408.2
1,1974,2266000,6344.7,367.4,5977.3,5.6,32.3,130.8,198.7,1843.2,3665.5,468.7
1,1975,2288000,6752.2,438.5,6313.7,6.2,32.6,130.3,269.4,1911.6,3935.9,466.2
1,1976,2329000,6358.8,457.4,5901.4,4.2,35.6,132.7,285,1699.7,3806.8,394.8
1,1977,2376000,5987.2,455.8,5531.4,4.9,39.9,124.1,286.9,1636.4,3506.1,388.9
1,1978,2444000,6075.4,502.4,5573,5,41.2,131.1,325,1617.1,3561.1,394.8
1,1979,2527000,6373,545.4,5827.6,4.2,44.4,130.6,366.2,1609.9,3831.5,386.2
1,1980,2610477,6686.9,490.4,6196.5,5.1,41.5,152.4,291.4,1748.4,4087.8,360.3
1,1981,2647000,7036.9,478.7,6558.2,4.4,41.7,180.6,251.9,1967,4250.8,340.4
1,1982,2649000,6567.5,473,6094.5,5.1,39.9,167.3,260.6,1789.7,4003.8,301
1,1983,2662000,6250.9,487.8,5763,4.1,40.5,170.3,273,1745.8,3714.5,302.8
1,1984,2674000,6243.7,506.1,5737.6,4.8,44.9,168.6,287.8,1823.3,3617.9,296.4
1,1985,2687000,6729.8,551.1,6178.7,4.7,50.7,185.6,310.1,1886.5,3934.7,357.6
1,1986,2698000,7080.7,549.7,6531,6.6,51.1,205.9,286.1,1966.7,4162.8,401.5
1,1987,2724000,6969,539.5,6429.4,5.6,45.8,196,292.2,1782.7,4181.6,465.1
1,1988,2741000,7058.7,545.7,6513,5.1,40.5,193,307.2,1764.1,4154.4,594.4
1,1989,2820000,6161.1,518.6,5642.5,4.8,46.6,151.8,315.4,1425.4,3677,540.1
1,1990,2842321,5646,506.8,5139.2,3.8,46.9,144.3,311.8,1135.4,3545.2,458.6
1,1991,2922000,5755.1,506.3,5248.8,4.6,53.4,150.1,298.2,1176,3598.4,474.4
1,1992,2977000,5820.9,510.2,5310.7,4.7,53.1,151.4,301.1,1106.7,3670.6,533.5
1,1993,3032000,5765.6,503.1,5262.5,4.6,51.3,129.6,317.6,1024.8,3656.9,580.7
1,1994,3086000,6296.4,520.6,5775.8,4.9,43.2,138.2,334.4,1100.8,3969.7,705.2
0,1970,1059273,4201.7,137.7,4063.9,3.4,10.9,53.1,70.3,915,2832.7,316.3
0,1971,1099000,4485.8,153.7,4332.1,2.7,14.6,60.5,75.8,914.7,3089.1,328.3
0,1972,1126000,4206.4,183.2,4023.2,2.9,18.3,62.3,99.7,913.2,2832.2,277.7
0,1973,1157000,4247.1,208.5,4038.6,3.2,22.9,62.6,119.8,989.3,2748.1,301.2
0,1974,1173000,4950.2,214.6,4735.6,3.2,22.3,75.8,113.4,1132.9,3272.9,329.8
0,1975,1206000,5112.6,231.8,4880.8,2.7,20.9,79,129.2,1187.8,3372.6,320.5
0,1976,1228000,4977.8,220.6,4757.2,4.5,20.9,69.4,125.8,1137.9,3302,317.3
0,1977,1268000,4750.6,240,4510.6,3.5,20.3,68.8,147.3,1171.6,3004.6,334.5
0,1978,1307000,4978.9,271.8,4707.1,3.7,22.9,66.5,178.7,1187.1,3186.1,333.9
0,1979,1367000,5492,304.2,5187.9,4.8,27.9,77.7,193.8,1178.9,3673.4,335.6
0,1980,1458729,5880.6,303.3,5577.3,3.8,27.7,80.2,191.7,1321.9,3931.8,323.6
0,1981,1516000,5750,298.6,5451.4,3.3,28.4,84.8,182.1,1274.8,3882.3,294.3
0,1982,1554000,5334,285.7,5048.3,3.4,23.7,86.5,172.1,1106.9,3689.9,251.5
0,1983,1619000,5117.9,256,4862,3.5,24.9,64.3,163.3,1015.8,3610.4,235.7
0,1984,1652000,4766.2,244.2,4522,2.8,20.3,58,163.1,858.1,3437.2,226.7
0,1985,1645000,5317.3,267.4,5050,3,23.2,55.2,186,942.9,3870.4,236.7
0,1986,1665000,5478.4,266.7,5211.7,3.2,25.3,58.6,179.6,914.9,4073.6,223.2
0,1987,1680000,5618.6,229.8,5388.8,3.3,21.7,52.8,152,950.9,4228.5,209.5
0,1988,1691000,5578.5,243.1,5335.5,2.8,23.6,54.1,162.6,881,4238.7,215.7
0,1989,1707000,5682.1,258.8,5423.4,2.6,28.6,52.6,174.9,897,4288.8,237.6
0,1990,1722850,5659.9,283.9,5376,3,37.8,56.9,186.3,880.6,4257.6,237.7
0,1991,1770000,5607.6,286.8,5320.8,2.9,45.6,55.1,183.1,840.2,4239.6,241
0,1992,1813000,5658.5,290.5,5368,3,45.4,55.9,186.2,885,4245.1,237.9
0,1993,1860000,5237.4,301,4936.3,3.1,44.6,58.6,194.7,790.8,3903.4,242.2
0,1994,1908000,5300.9,304.5,4996.4,2.9,42.2,63.6,195.8,790.8,3907.4,298.2
