Treat,Year,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated assault,Burglary,Larcency_Theft,Vehicle_Theft
1,2000,8414350,3160.5,383.8,2776.6,3.4,16.1,161.1,203.2,522,1848.8,405.9
1,2001,8511116,3215.1,388.8,2826.3,3.9,15,165.8,204.1,550,1833.3,443
1,2002,8575252,3031.6,376.1,2655.5,4,15.9,162.7,193.5,511.9,1726.6,417
1,2003,8642412,2913.9,364.3,2549.6,4.7,14.9,154.4,190.4,502.8,1646.4,400.4
1,2004,8685166,2789.3,356.3,2433,4.5,15.3,150.6,185.9,472.4,1611.7,348.9
1,2005,8703150,2692.3,355.3,2337,4.8,13.9,151.8,184.7,447.9,1571,318.1
1,2006,8724560,2642.7,351.6,2291.1,4.9,14.2,153.1,179.4,452,1556.5,283.4
1,2007,8685920,2542.4,329.3,2213.1,4.4,12.1,144.5,168.3,431.5,1528.8,252.7
1,2008,8663398,2625.8,327.3,2298.5,4.3,13,146.6,163.4,466.4,1599.2,232.9
1,2009,8707739,2387.2,311.4,2075.8,3.7,12,133.7,162.1,424.3,1473.7,178
1,2010,8799593,2387.6,307.5,2080.1,4.2,11.1,134.3,157.8,440.2,1463.2,176.8
1,2011,8834773,2455.3,307.9,2147.4,4.3,11.4,138.2,154,489.4,1460.9,197.1
1,2012,8867749,2336.6,290.1,2046.5,4.4,11.7,128.4,145.7,477.4,1383.2,185.9
1,2013,8911502,2170,288.9,1881.1,4.5,9.7,135.6,135.5,402.7,1324.2,154.3
1,2014,8938844,1994.3,260.9,1733.4,3.9,10.7,117.5,125.2,354.7,1247.7,130.9
1,2015,8935421,1886.6,256,1630.6,4.1,11.4,108.9,127.7,312.9,1185.9,131.8
1,2016,8944469,1789.6,245,1544.6,4.2,12.2,100.4,124.2,282.7,1135.2,126.6
1,2017,8888543,1807.8,231.8,1576,3.6,16.9,88.8,122.4,268.8,1170.3,136.9
1,2018,8886025,1617,208.6,1408.4,3.2,16,71.6,117.7,216.4,1067.8,124.2
1,2019,8882190,1542.6,206.9,1335.7,2.9,17.2,64.5,122.2,184.6,1034.7,116.4
0,2000,9938444,4109.9,555,3554.9,6.7,50.6,138,359.7,702.2,2291.9,560.7
0,2001,10006266,4075.2,553.9,3521.3,6.7,52.6,129.3,365.3,719.9,2265.7,535.7
0,2002,10043221,3876.9,540.7,3336.2,6.8,53.4,118,362.6,706.6,2134.4,495.1
0,2003,10082364,3789.9,511.3,3278.6,6.1,54.3,111.6,339.3,677.6,2068.3,532.7
0,2004,10104206,3558.3,492.2,3066.1,6.4,54.3,112.2,319.4,635.7,1929.8,500.6
0,2005,10100833,3651.5,553.8,3097.7,6.2,51.5,132.1,363.9,698.2,1921.5,477.9
0,2006,10095643,3775.2,562.4,3212.8,7.1,52.2,140.7,362.4,753.9,1963.5,495.4
0,2007,10071822,3601.7,536,3065.7,6.7,45.5,133.2,350.7,748.9,1898.3,418.5
0,2008,10002486,3459.7,513.7,2946,5.5,44.8,132.3,331,746.7,1842.2,357.1
0,2009,9969727,3348.6,499.8,2848.8,6.2,45.4,124.6,323.5,762.8,1791.7,294.3
0,2010,9877143,3241.8,493,2748.8,5.9,47.9,116.7,322.5,752.7,1718.6,277.5
0,2011,9876801,2987.4,442.8,2544.6,6.2,44,103.9,288.6,706.3,1586.2,252.2
0,2012,9882519,2977.1,455,2522.1,7.1,46.9,105.5,295.5,663.4,1604.9,253.8
0,2013,9898193,2777.2,452.2,2325,6.3,45.5,102,275.3,568.3,1513.3,243.3
0,2014,9916306,2473.1,429.1,2044,5.5,45.4,81,278.4,447,1383,214
0,2015,9917715,2348.4,420.6,1927.8,5.9,48.2,78.8,268.2,407.1,1331.1,189.5
0,2016,9928300,2368.9,459,1909.9,6,51.5,71.7,309.5,398.5,1308.1,203.2
0,2017,9976447,2252.5,449.9,1802.6,5.7,71.3,65.2,307.7,359.2,1247,196
0,2018,9984072,2117,452.5,1664.5,5.6,79.1,56.5,311.3,318.8,1170.6,175
0,2019,9986857,2022.4,437.4,1585,5.6,72.4,53.6,305.9,286.1,1121.3,177.7
